type,id,lat,lon,tags/addr:city,tags/addr:housenumber,tags/addr:street,tags/healthcare,tags/healthcare:speciality,tags/name,tags/website,tags/addr:postcode,tags/alt_name,tags/opening_hours,tags/operator,tags/wheelchair,tags/addr:state,tags/amenity,tags/ele,tags/gnis:county_id,tags/gnis:created,tags/gnis:feature_id,tags/gnis:state_id,tags/contact:phone,tags/contact:phone:US,tags/contact:website,tags/entrance,tags/phone,tags/email,tags/healthcare:counselling,tags/addr:unit,tags/addr:country,tags/fax,tags/branch,tags/contact:fax,nodes/0,nodes/1,nodes/2,nodes/3,nodes/4,nodes/5,nodes/6,nodes/7,nodes/8,tags/building,tags/building:levels,tags/roof:shape,tags/source,nodes/9,nodes/10,nodes/11,nodes/12,nodes/13,nodes/14,nodes/15,tags/roof:levels,tags/source:addr:postcode,tags/source:geometry,nodes/16,nodes/17,nodes/18,nodes/19,nodes/20
node,2173742529,43.7075845,-79.3764246,Toronto,727,Hillsdale Avenue East,clinic,abortion,The Morgentaler Clinic,http://www.morgentaler.ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3016699800,51.4552332,-0.3126456,Twickenham,15,Rosslyn Road,clinic,abortion,Rosslyn Clinic,https://www.bpas.org/clinics.php?clinic=49,TW1 2AR,BPAS Richmond,Mo 08:00-17:00;Tu-Sa 08:00-19:00,BPAS,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3025575963,39.3928741,-76.5624204,Parkville,1714,Joan Avenue,clinic,abortion,Planned Parenthood,,21234,,,,,MD,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3424295106,41.1367357,-95.9061063,Bellevue,1002,West Mission Avenue,clinic,abortion,Bellevue Health Clinic,,,,,,,,clinic,334,153,03/27/2001,1898144,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4088658019,43.0485907,-87.8963276,,,,clinic,abortion,Affiliated Medical Services,,,AMS,,,,,doctors,,,,,,+1 414 278 0424,1 800 498 0424,https://www.affiliatedmedicalservices.com/,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4961707204,29.5222715,51.3645859,,,,clinic,abortion,درمانگاه,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5158675622,34.0260471,-4.9994625,ait skatou,,Ait Skatou,clinic,abortion,clique assalam,,,,,مصحة السلام,,,clinic,,,,,,,,,,0535930185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5391090717,47.7974115,13.0339978,Salzburg,21,Neutorstraße,clinic,abortion,Konfliktschwangerschaft,https://www.konfliktschwangerschaft.at/,5020,,"Mo-Fr ""nach Vereinbarung""",,,,clinic,,,,,,,,,,+43 676 9134934,office@konfliktschwangerschaft.at,antenatal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5711956320,45.4535485,1.5524424,,,,clinic,abortion,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5721212445,44.4326672,-69.0190465,Belfast,147,Waldo Avenue,clinic,abortion,Belfast Family Planning,,04915,,"Tu, Th 10:00-18:00",,,ME,clinic,,,,,,,,,,,,,6922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
